,client_id,session_id,round_id,cardinality,seconds
0,3ba5f0c3-3a32-42e1-8530-fe498f122dba,09c9f2c2-9a42-459c-abf7-a29891fa081a,0,,10.33318305015564
1,35507ce7-acc1-4d86-9a58-d6c31d0c78b0,09c9f2c2-9a42-459c-abf7-a29891fa081a,0,,10.45725679397583
2,0767f5dd-c7a7-4d60-aeef-a448c61f6c79,09c9f2c2-9a42-459c-abf7-a29891fa081a,0,,10.459386825561523
3,8ea5d5bc-2505-45ca-99fb-d2fdbfb7943a,09c9f2c2-9a42-459c-abf7-a29891fa081a,0,,10.487100839614868
4,68d17f5c-f49f-463e-aa80-3edabf73bb3a,09c9f2c2-9a42-459c-abf7-a29891fa081a,0,,10.48995566368103
5,cbef1667-0d3a-425d-9da9-b1ea8e586322,09c9f2c2-9a42-459c-abf7-a29891fa081a,0,,10.549843072891235
6,d231e34e-fc63-4e86-a210-08d3eeb6f2d7,09c9f2c2-9a42-459c-abf7-a29891fa081a,0,,10.550359010696411
7,a31cf167-3207-426c-8db9-4078397fb567,09c9f2c2-9a42-459c-abf7-a29891fa081a,0,,10.559015989303589
8,e304e12b-d7cb-4d50-9651-36afed181d7d,09c9f2c2-9a42-459c-abf7-a29891fa081a,0,,10.580342054367065
9,563b2eb7-f17a-476d-b80a-939d43dba5bb,09c9f2c2-9a42-459c-abf7-a29891fa081a,0,,10.610451936721802
10,ddc61f56-efc1-4381-85df-977bab8b3419,09c9f2c2-9a42-459c-abf7-a29891fa081a,0,,10.616045951843262
11,a638c42a-eb5d-43a7-9252-a6915d8f948e,09c9f2c2-9a42-459c-abf7-a29891fa081a,0,,10.645995855331421
12,54c7bdcc-7be6-4608-9271-23eeabb8f919,09c9f2c2-9a42-459c-abf7-a29891fa081a,0,,10.659977197647095
13,7fd847db-71ae-437d-b876-2b251bd48422,09c9f2c2-9a42-459c-abf7-a29891fa081a,0,,10.676857948303223
14,ad5d1749-8a9b-490c-a1ac-8bf0a151d60d,09c9f2c2-9a42-459c-abf7-a29891fa081a,0,,10.683287620544434
15,92d38914-ceb2-4e0a-bc19-5f78c89177fc,09c9f2c2-9a42-459c-abf7-a29891fa081a,0,,10.701028108596802
16,e79bb4bd-b193-40cc-98c2-e9ce38669176,09c9f2c2-9a42-459c-abf7-a29891fa081a,0,,10.709728002548218
17,66140059-a0b0-4355-b0d0-facc7daa4504,09c9f2c2-9a42-459c-abf7-a29891fa081a,0,,10.751452922821045
18,9851060e-18d3-4984-b718-72701acbc733,09c9f2c2-9a42-459c-abf7-a29891fa081a,0,,10.783644199371338
19,9951851b-4594-4d26-a08e-100b80a7abd3,09c9f2c2-9a42-459c-abf7-a29891fa081a,0,,10.787629842758179
20,cb47fe9b-4115-48b7-ab0a-af6ecda1cb09,09c9f2c2-9a42-459c-abf7-a29891fa081a,0,,10.826775074005127
21,7fad5829-3093-4ff7-b09e-6ea1fc7bee99,09c9f2c2-9a42-459c-abf7-a29891fa081a,0,,10.850969791412354
22,21964d21-6aaa-43e7-bb73-cfedc50e0ebe,09c9f2c2-9a42-459c-abf7-a29891fa081a,0,,10.879914999008179
23,8fcb241a-9cf0-432f-a7f6-5a7931a7e094,09c9f2c2-9a42-459c-abf7-a29891fa081a,0,,10.940608024597168
24,b088570c-7805-4d35-874d-07a08b358bd1,09c9f2c2-9a42-459c-abf7-a29891fa081a,0,,11.269953966140747
25,b497d3b1-fd16-4120-858d-d11c7a6970e8,09c9f2c2-9a42-459c-abf7-a29891fa081a,1,,10.096748113632202
26,fbe0c9d5-be63-40af-acb7-13d7cc070179,09c9f2c2-9a42-459c-abf7-a29891fa081a,1,,10.092129945755005
27,48b2ac09-06af-4962-9348-0e18902c7bcb,09c9f2c2-9a42-459c-abf7-a29891fa081a,1,,10.09804391860962
28,f86d8f27-48f1-4557-9de7-384c72e7f713,09c9f2c2-9a42-459c-abf7-a29891fa081a,1,,10.128629922866821
29,f6200365-90be-4364-8693-f1108912fc22,09c9f2c2-9a42-459c-abf7-a29891fa081a,1,,10.139690160751343
30,8fcb241a-9cf0-432f-a7f6-5a7931a7e094,09c9f2c2-9a42-459c-abf7-a29891fa081a,1,,10.16390872001648
31,5206a86c-f0df-4a66-899b-10f26d2a8833,09c9f2c2-9a42-459c-abf7-a29891fa081a,1,,10.178472995758057
32,66140059-a0b0-4355-b0d0-facc7daa4504,09c9f2c2-9a42-459c-abf7-a29891fa081a,1,,10.173863172531128
33,827f70d8-3e9b-44e7-9081-a0252b8f72c6,09c9f2c2-9a42-459c-abf7-a29891fa081a,1,,10.18358302116394
34,9851060e-18d3-4984-b718-72701acbc733,09c9f2c2-9a42-459c-abf7-a29891fa081a,1,,10.1843101978302
35,60c8ce30-ffed-4398-b7d6-932677a64d0b,09c9f2c2-9a42-459c-abf7-a29891fa081a,1,,10.18359899520874
36,4e849235-a95f-48c5-89e6-6bf3042ac545,09c9f2c2-9a42-459c-abf7-a29891fa081a,1,,10.187168836593628
37,0fe525c8-8f66-471d-be05-8bb55f5cbf45,09c9f2c2-9a42-459c-abf7-a29891fa081a,1,,10.197755813598633
38,08f19ec3-58e0-4cac-8050-878a2d78b16e,09c9f2c2-9a42-459c-abf7-a29891fa081a,1,,10.228994131088257
39,563b2eb7-f17a-476d-b80a-939d43dba5bb,09c9f2c2-9a42-459c-abf7-a29891fa081a,1,,10.240200996398926
40,47eaaf38-0726-401a-99d7-8ceacdce9b83,09c9f2c2-9a42-459c-abf7-a29891fa081a,1,,10.248207092285156
41,c98e3f0f-3f48-49c0-9481-f459c9077eb2,09c9f2c2-9a42-459c-abf7-a29891fa081a,1,,10.243688821792603
42,383a6b52-c129-421f-9c2c-b6569895dc3a,09c9f2c2-9a42-459c-abf7-a29891fa081a,1,,10.246686220169067
43,a45ff039-c82e-47b6-a55a-10cbb4315983,09c9f2c2-9a42-459c-abf7-a29891fa081a,1,,10.280096054077148
44,9806ad67-30a1-48e5-8efc-6f502e54059b,09c9f2c2-9a42-459c-abf7-a29891fa081a,1,,10.335280895233154
45,5e4b66e9-3b0c-4d1f-b72e-3037f9366a77,09c9f2c2-9a42-459c-abf7-a29891fa081a,1,,10.357884168624878
46,54c7bdcc-7be6-4608-9271-23eeabb8f919,09c9f2c2-9a42-459c-abf7-a29891fa081a,1,,10.376620054244995
47,9ae3a28e-c9cb-4cf1-bab0-0074cdb19533,09c9f2c2-9a42-459c-abf7-a29891fa081a,1,,10.397966623306274
48,f9371879-8b4d-42dc-935a-87b8c205a9c1,09c9f2c2-9a42-459c-abf7-a29891fa081a,1,,10.71211314201355
49,91363bd4-b37c-4633-bfe9-258a0f64db77,09c9f2c2-9a42-459c-abf7-a29891fa081a,1,,11.952366828918457
50,48416f81-a0c2-4f6f-800c-db538050714f,09c9f2c2-9a42-459c-abf7-a29891fa081a,2,,10.06203007698059
51,47eaaf38-0726-401a-99d7-8ceacdce9b83,09c9f2c2-9a42-459c-abf7-a29891fa081a,2,,10.0482759475708
52,98ecbc9f-54df-4592-b80e-1e0d70d891f3,09c9f2c2-9a42-459c-abf7-a29891fa081a,2,,10.180924892425537
53,96e2db0f-b6c6-42ff-a3ba-cba270898257,09c9f2c2-9a42-459c-abf7-a29891fa081a,2,,10.195613861083984
54,d231e34e-fc63-4e86-a210-08d3eeb6f2d7,09c9f2c2-9a42-459c-abf7-a29891fa081a,2,,10.201335906982422
55,69260827-1927-4957-8218-beed8bdc93d3,09c9f2c2-9a42-459c-abf7-a29891fa081a,2,,10.210514068603516
56,e79bb4bd-b193-40cc-98c2-e9ce38669176,09c9f2c2-9a42-459c-abf7-a29891fa081a,2,,10.215128898620605
57,48b2ac09-06af-4962-9348-0e18902c7bcb,09c9f2c2-9a42-459c-abf7-a29891fa081a,2,,10.250198125839233
58,f6200365-90be-4364-8693-f1108912fc22,09c9f2c2-9a42-459c-abf7-a29891fa081a,2,,10.256409168243408
59,a638c42a-eb5d-43a7-9252-a6915d8f948e,09c9f2c2-9a42-459c-abf7-a29891fa081a,2,,10.238240003585815
60,a5d08ad4-837e-4015-b729-3fdba7c7f985,09c9f2c2-9a42-459c-abf7-a29891fa081a,2,,10.263232946395874
61,7fad5829-3093-4ff7-b09e-6ea1fc7bee99,09c9f2c2-9a42-459c-abf7-a29891fa081a,2,,10.260087966918945
62,35507ce7-acc1-4d86-9a58-d6c31d0c78b0,09c9f2c2-9a42-459c-abf7-a29891fa081a,2,,10.244931936264038
63,08f19ec3-58e0-4cac-8050-878a2d78b16e,09c9f2c2-9a42-459c-abf7-a29891fa081a,2,,10.263073921203613
64,3af005c4-6c44-4c5b-b382-93e511975f2a,09c9f2c2-9a42-459c-abf7-a29891fa081a,2,,10.266201972961426
65,9ae3a28e-c9cb-4cf1-bab0-0074cdb19533,09c9f2c2-9a42-459c-abf7-a29891fa081a,2,,10.25959300994873
66,5608a0b2-25c9-480b-a788-b238f3c6653a,09c9f2c2-9a42-459c-abf7-a29891fa081a,2,,10.326734066009521
67,707790ab-2e2c-4307-b730-1bedd433cd08,09c9f2c2-9a42-459c-abf7-a29891fa081a,2,,10.334511280059814
68,e5b11185-8cb3-4973-8c9d-66cb13152553,09c9f2c2-9a42-459c-abf7-a29891fa081a,2,,10.349064826965332
69,0fe525c8-8f66-471d-be05-8bb55f5cbf45,09c9f2c2-9a42-459c-abf7-a29891fa081a,2,,10.354538917541504
70,505c61a0-8a2c-4e4d-974d-c5d75619590e,09c9f2c2-9a42-459c-abf7-a29891fa081a,2,,10.376741886138916
71,ae1dd59c-76f4-4471-812a-7a32f05e8882,09c9f2c2-9a42-459c-abf7-a29891fa081a,2,,10.42800521850586
72,66140059-a0b0-4355-b0d0-facc7daa4504,09c9f2c2-9a42-459c-abf7-a29891fa081a,2,,10.512923002243042
73,9806ad67-30a1-48e5-8efc-6f502e54059b,09c9f2c2-9a42-459c-abf7-a29891fa081a,2,,10.988508939743042
74,2ac3d744-30c5-45f5-acfa-f387c8dc39a3,09c9f2c2-9a42-459c-abf7-a29891fa081a,2,,11.798407077789307
